Dependent Variable,Product,Geography,Variables,Detailed Group,Broad Group,Historical Dep. Variable Sum,Take Rate Elasticity,Base in Latest Week,Life Curve in Latest Week,Life Curve Annual Decay Rate,Historical Spend Full Model Period,Historical Raw Causal Sum Full Model Period,"Historical Causal Sum After Adstocking, Full Model Period",Historical Causal Sum After Adstocking And Curve Applied,Corporate Activity,Coefficient,Driver1,Symmetry,Volume1,Linearity Increment,Linearity Weight,SPEND_A,SPEND_B,SPEND_C,SPEND_D,SUPPORT_A,SUPPORT_B,SUPPORT_C,SUPPORT_D,Media Metric,CPP Measure,Start Date_Full_Model,End Date_Full_Model,CPP_Full_Model,Spends_Full_Model,Number of Weeks_Full_Model,Total Sales_Full_Model,Total Base Sales_Full_Model,Avg Causal Raw_Full_Model,Execution Weeks_Full_Model,Decomps_Full_Model,MSRP_Full_Model,ST ROI_Full_Model,Elasticity_Full_Model,Start Date_Latest_Year,End Date_Latest_Year,CPP_Latest_Year,Spends_Latest_Year,Number of Weeks_Latest_Year,Total Sales_Latest_Year,Total Base Sales_Latest_Year,Avg Causal Raw_Latest_Year,Execution Weeks_Latest_Year,Decomps_Latest_Year,MSRP_Latest_Year,ST ROI_Latest_Year,Elasticity_Latest_Year,Start Date_Prior_Year,End Date_Prior_Year,CPP_Prior_Year,Spends_Prior_Year,Number of Weeks_Prior_Year,Total Sales_Prior_Year,Total Base Sales_Prior_Year,Avg Causal Raw_Prior_Year,Execution Weeks_Prior_Year,Decomps_Prior_Year,MSRP_Prior_Year,ST ROI_Prior_Year,Elasticity_Prior_Year
Sales,Cooking,National,TV NM Ankastre Set & Satis Kampanyasi,TV NM,Media,1155320,0,4730.285353,1,0,266520,174.7672131,349.534426,5.813304434,0,55.22338888,0.010988592,2,1,0,0,30049.76043,57448.07141,90149.2813,136107.7384,19.70476094,37.6708665,59.11428282,89.25097603,GRPs,CPP,06-Dec-15,02-Dec-18,1525,266520,157,1155320,1091214.895,1.113166962,5,1649.527714,1055.84953,6.584123394,,10-Dec-17,02-Dec-18,0,0,52,346151.9099,328461.3362,0,1,6.70E-09,1224.87,0,,11-Dec-16,03-Dec-17,1525,266520,52,420224.916,397811.2188,3.360907944,5,1649.527714,1075.28,6.584123394,
Sales,Cooking,National,TV NM Ankastre Set Kampanyasi,TV NM,Media,1155320,0,4730.285353,1,0,1661843.19,1089.733239,1880.303458,15.74707425,0,424.6235424,0.01154898,2,1,0,0,29165.94395,54796.62197,85730.19889,129037.2066,19.12520915,35.93221113,56.21652386,84.61456169,GRPs,CPP,06-Dec-15,02-Dec-18,1525,1661843.19,157,1155320,1091214.895,6.940976047,23,5770.878531,1055.84953,3.330052446,,10-Dec-17,02-Dec-18,1525,151935,52,346151.9099,328461.3362,1.879802041,2,532.1735629,1224.87,3.492666776,,11-Dec-16,03-Dec-17,1525,230338.5,52,420224.916,397811.2188,2.904646911,4,782.2292667,1075.28,3.710878641,
Sales,Cooking,National,TV NM Ceyiz Kampanyasi,TV NM,Media,1155320,0,4730.285353,1,0,113158.5,74.20229509,76.59591752,2.14225727,1,2648.317755,0.008909367,2,1,0,0,62048.4375,118187.5,186145.3125,280695.3125,40.6875,77.5,122.0625,184.0625,GRPs,CPP,06-Dec-15,02-Dec-18,1525,113158.5,157,1155320,1091214.895,0.472626083,2,581.8158183,1055.84953,5.848923159,,10-Dec-17,02-Dec-18,1525,113158.5,52,346151.9099,328461.3362,1.400043304,2,581.8158183,1224.87,5.848923159,,11-Dec-16,03-Dec-17,0,0,52,420224.916,397811.2188,0,0,0,1075.28,0,
Sales,Cooking,National,TV NM FIC,TV NM,Media,1155320,0,4730.285353,1,0,410499.8152,269.1802067,482.541887,5.996071589,0,332.190282,0.01144891,2,1,0,0,28073.19793,52743.58398,83368.89081,125904.0392,18.40865438,34.58595671,54.66812512,82.56002569,GRPs,CPP,06-Dec-15,02-Dec-18,1525,410499.8152,157,1155320,1091214.895,1.714523609,5,1170.558263,1055.84953,2.906329974,,10-Dec-17,02-Dec-18,1525,410499.8152,52,346151.9099,328461.3362,5.078871824,5,1170.558263,1224.87,2.906329974,,11-Dec-16,03-Dec-17,0,0,52,420224.916,397811.2188,0,0,0,1075.28,0,
Sales,Cooking,National,TV NM Fiyat & Promosyon,TV NM,Media,1155320,0,4730.285353,1,0,416826.14,273.3286164,471.6206904,6.508745667,0,25.30188999,0.015813784,2,1,0,0,21211.59561,39771.74176,62750.97032,94568.36371,13.90924302,26.07983066,41.14817726,62.01204178,GRPs,CPP,06-Dec-15,02-Dec-18,1525,416826.14,157,1155320,1091214.895,1.740946601,6,910.8679325,1055.84953,1.891001104,,10-Dec-17,02-Dec-18,0,0,52,346151.9099,328461.3362,0,1,0,1224.87,0,,11-Dec-16,03-Dec-17,0,0,52,420224.916,397811.2188,0,0,0,1075.28,0,
Sales,Cooking,National,TV NM Imaj,TV NM,Media,1155320,0,4730.285353,1,0,928301.154,608.7220683,888.6197504,7.755700862,0,647.5474872,0.007224392,2,1,0,0,53277.41008,102376.1998,161921.5404,245493.9484,34.93600661,67.13193428,106.1780593,160.9796383,GRPs,CPP,06-Dec-15,02-Dec-18,1525,928301.154,157,1155320,1091214.895,3.877210626,5,2178.620933,1055.84953,2.439796991,,10-Dec-17,02-Dec-18,1525,411719.154,52,346151.9099,328461.3362,5.093957984,3,1153.345398,1224.87,2.860700668,,11-Dec-16,03-Dec-17,1525,516582,52,420224.916,397811.2188,6.514274906,2,1025.275535,1075.28,2.104334071,
Sales,Dish Care,National,Digital - Display MC,DIGITAL,Media,694690,0,2589.333476,1,0,3098013.913,67686.8553,82221.74338,372.3893249,1,1862.773824,0.00080004,2,1,0,0,17181.51776,33308.03005,52787.95261,79878.98609,375.3898269,727.7294014,1153.33585,1745.233406,Impressions,CPP,06-Dec-15,02-Dec-18,45.76980123,3098013.913,157,694690,659676.3566,752.07617,90,18274.6914,1483.848576,7.990141607,,10-Dec-17,02-Dec-18,40.36932869,120103.25,52,199521.4213,194757.5839,330.5679333,9,1288.149156,1809.871105,17.3239662,,11-Dec-16,03-Dec-17,25.65635636,709973.9922,52,255542.4466,237858.8865,768.6789,36,9145.63901,1379.988248,18.07058196,
Sales,Dish Care,National,Digital - VOD MC,DIGITAL,Media,694690,0,2589.333476,1,0,457944.35,9810.272,9819.861709,51.02847027,1,5539.117203,0.00030703,2,1,0,0,55401.78711,107445.8901,170262.5629,257515.7141,1186.839844,2301.75,3647.43457,5516.607422,Impressions,CPP,06-Dec-15,02-Dec-18,46.68008695,457944.35,157,694690,659676.3566,239.2749268,41,2334.283129,1483.848576,7.541512927,,10-Dec-17,02-Dec-18,52.87103894,129576.025,52,199521.4213,194757.5839,490.1588,5,794.3117863,1809.871105,9.90047489,,11-Dec-16,03-Dec-17,44.90253551,315768.325,52,255542.4466,237858.8865,219.7595313,32,1512.202581,1379.988248,6.766927011,
Sales,Dish Care,National,PR and Sponsorship,PR,Media,694690,0,2589.333476,1,0,2967058.45,2967058.45,3062770.013,135.5743093,1,7.977153174,0.00011665,1,1,0,0,0,0,0,18069.78197,0,0,0,18069.78197,Impressions,CPP,06-Dec-15,02-Dec-18,1,2967058.45,157,694690,659676.3566,24122.42643,123,3805.50816,1483.848576,1.890062237,,10-Dec-17,02-Dec-18,1,1424588.613,52,199521.4213,194757.5839,35614.71534,40,1365.278533,1809.871105,1.60138352,,11-Dec-16,03-Dec-17,1,558500.5152,52,255542.4466,237858.8865,13962.51288,40,1433.802567,1379.988248,3.668341582,
Sales,Dish Care,National,TV M Degisim Kampanyasi,TV M,Media,694690,0,2589.333476,1,0,1881323.41,1166.546333,3982.838312,118.6244242,1,53.95275445,0.00292539,2,1,0,0,59517.04062,114310.5066,180912.9092,273967.3298,36.90454557,70.88015895,112.1781028,169.8780669,GRPs,CPP,06-Dec-15,02-Dec-18,1612.729264,1881323.41,157,694690,659676.3566,129.6162593,9,2913.44874,1483.848576,1.947906303,,10-Dec-17,02-Dec-18,0,0,52,199521.4213,194757.5839,0,1,4.90E-09,1809.871105,0,,11-Dec-16,03-Dec-17,1533.068198,1292850.72,52,255542.4466,237858.8865,140.5515556,6,2478.359517,1379.988248,2.414473382,
